# Sun->Earth Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 05:10:00.0000 ET, +2.2228396409905870e+07, +1.3357473703384049e+08, +5.7901080671406515e+07, -2.9931928251189667e+01, +4.0236166164203029e+00, +1.7443198217702998e+00
13-DEC-2028 05:20:00.0000 ET, +2.2210437086768817e+07, +1.3357715020482615e+08, +5.7902126830266304e+07, -2.9932482131257490e+01, +4.0202866578326759e+00, +1.7428763726291929e+00
13-DEC-2028 05:30:00.0000 ET, +2.2192477431437660e+07, +1.3357956137781638e+08, +5.7903172123047814e+07, -2.9933035564847820e+01, +4.0169566316813299e+00, +1.7414328941985364e+00
13-DEC-2028 05:40:00.0000 ET, +2.2174517444180291e+07, +1.3358197055277066e+08, +5.7904216549733497e+07, -2.9933588551949999e+01, +4.0136265380181033e+00, +1.7399893865008007e+00
13-DEC-2028 05:50:00.0000 ET, +2.2156557125264615e+07, +1.3358437772964850e+08, +5.7905260110305771e+07, -2.9934141092553386e+01, +4.0102963768948365e+00, +1.7385458495584563e+00
13-DEC-2028 06:00:00.0000 ET, +2.2138596474958535e+07, +1.3358678290840945e+08, +5.7906302804747112e+07, -2.9934693186647344e+01, +4.0069661483633681e+00, +1.7371022833939738e+00
13-DEC-2028 06:10:00.0000 ET, +2.2120635493529946e+07, +1.3358918608901307e+08, +5.7907344633039996e+07, -2.9935244834221230e+01, +4.0036358524755427e+00, +1.7356586880298255e+00
13-DEC-2028 06:20:00.0000 ET, +2.2102674181246772e+07, +1.3359158727141896e+08, +5.7908385595166914e+07, -2.9935796035264445e+01, +4.0003054892832024e+00, +1.7342150634884839e+00
13-DEC-2028 06:30:00.0000 ET, +2.2084712538376939e+07, +1.3359398645558678e+08, +5.7909425691110350e+07, -2.9936346789766354e+01, +3.9969750588381938e+00, +1.7327714097924225e+00
13-DEC-2028 06:40:00.0000 ET, +2.2066750565188363e+07, +1.3359638364147612e+08, +5.7910464920852832e+07, -2.9936897097716365e+01, +3.9936445611923652e+00, +1.7313277269641145e+00
13-DEC-2028 06:50:00.0000 ET, +2.2048788261948988e+07, +1.3359877882904676e+08, +5.7911503284376897e+07, -2.9937446959103863e+01, +3.9903139963975618e+00, +1.7298840150260355e+00
13-DEC-2028 07:00:00.0000 ET, +2.2030825628926754e+07, +1.3360117201825839e+08, +5.7912540781665049e+07, -2.9937996373918264e+01, +3.9869833645056372e+00, +1.7284402740006604e+00
13-DEC-2028 07:10:00.0000 ET, +2.2012862666389603e+07, +1.3360356320907074e+08, +5.7913577412699878e+07, -2.9938545342148991e+01, +3.9836526655684432e+00, +1.7269965039104647e+00
13-DEC-2028 07:20:00.0000 ET, +2.1994899374605492e+07, +1.3360595240144366e+08, +5.7914613177463941e+07, -2.9939093863785459e+01, +3.9803218996378336e+00, +1.7255527047779271e+00
13-DEC-2028 07:30:00.0000 ET, +2.1976935753842380e+07, +1.3360833959533693e+08, +5.7915648075939804e+07, -2.9939641938817097e+01, +3.9769910667656623e+00, +1.7241088766255230e+00
13-DEC-2028 07:40:00.0000 ET, +2.1958971804368239e+07, +1.3361072479071040e+08, +5.7916682108110093e+07, -2.9940189567233340e+01, +3.9736601670037874e+00, +1.7226650194757311e+00
13-DEC-2028 07:50:00.0000 ET, +2.1941007526451029e+07, +1.3361310798752396e+08, +5.7917715273957379e+07, -2.9940736749023650e+01, +3.9703292004040662e+00, +1.7212211333510314e+00
