# Sun->Earth Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 05:10:00.0000 ET, +2.5112610774153661e+07, -1.3763094850831771e+08, -5.9659764515500098e+07, +2.8894822982160264e+01, +4.4110689041460294e+00, +1.9119115124312323e+00
01-JUL-2028 05:20:00.0000 ET, +2.5129947497399312e+07, -1.3762830093246558e+08, -5.9658616963505767e+07, +2.8894254437965923e+01, +4.4141839261306393e+00, +1.9132617975854058e+00
01-JUL-2028 05:30:00.0000 ET, +2.5147283879400782e+07, -1.3762565148761854e+08, -5.9657468601348281e+07, +2.8893685501585040e+01, +4.4172988870804151e+00, +1.9146120562853146e+00
01-JUL-2028 05:40:00.0000 ET, +2.5164619919922773e+07, -1.3762300017381331e+08, -5.9656319429043524e+07, +2.8893116173025202e+01, +4.4204137869552200e+00, +1.9159622885135614e+00
01-JUL-2028 05:50:00.0000 ET, +2.5181955618729983e+07, -1.3762034699108645e+08, -5.9655169446607366e+07, +2.8892546452294035e+01, +4.4235286257149218e+00, +1.9173124942527504e+00
01-JUL-2028 06:00:00.0000 ET, +2.5199290975587092e+07, -1.3761769193947467e+08, -5.9654018654055722e+07, +2.8891976339399172e+01, +4.4266434033193898e+00, +1.9186626734854848e+00
01-JUL-2028 06:10:00.0000 ET, +2.5216625990258828e+07, -1.3761503501901469e+08, -5.9652867051404491e+07, +2.8891405834348234e+01, +4.4297581197284881e+00, +1.9200128261943687e+00
01-JUL-2028 06:20:00.0000 ET, +2.5233960662509888e+07, -1.3761237622974324e+08, -5.9651714638669595e+07, +2.8890834937148853e+01, +4.4328727749020880e+00, +1.9213629523620064e+00
01-JUL-2028 06:30:00.0000 ET, +2.5251294992104977e+07, -1.3760971557169709e+08, -5.9650561415866971e+07, +2.8890263647808645e+01, +4.4359873688000571e+00, +1.9227130519710025e+00
01-JUL-2028 06:40:00.0000 ET, +2.5268628978808828e+07, -1.3760705304491293e+08, -5.9649407383012548e+07, +2.8889691966335285e+01, +4.4391019013822692e+00, +1.9240631250039617e+00
01-JUL-2028 06:50:00.0000 ET, +2.5285962622386154e+07, -1.3760438864942768e+08, -5.9648252540122278e+07, +2.8889119892736389e+01, +4.4422163726085913e+00, +1.9254131714434903e+00
01-JUL-2028 07:00:00.0000 ET, +2.5303295922601689e+07, -1.3760172238527808e+08, -5.9647096887212135e+07, +2.8888547427019621e+01, +4.4453307824388961e+00, +1.9267631912721934e+00
01-JUL-2028 07:10:00.0000 ET, +2.5320628879220154e+07, -1.3759905425250104e+08, -5.9645940424298078e+07, +2.8887974569192632e+01, +4.4484451308330586e+00, +1.9281131844726771e+00
01-JUL-2028 07:20:00.0000 ET, +2.5337961492006298e+07, -1.3759638425113341e+08, -5.9644783151396096e+07, +2.8887401319263070e+01, +4.4515594177509490e+00, +1.9294631510275475e+00
01-JUL-2028 07:30:00.0000 ET, +2.5355293760724857e+07, -1.3759371238121203e+08, -5.9643625068522185e+07, +2.8886827677238614e+01, +4.4546736431524430e+00, +1.9308130909194114e+00
01-JUL-2028 07:40:00.0000 ET, +2.5372625685140569e+07, -1.3759103864277390e+08, -5.9642466175692335e+07, +2.8886253643126931e+01, +4.4577878069974162e+00, +1.9321630041308755e+00
01-JUL-2028 07:50:00.0000 ET, +2.5389957265018191e+07, -1.3758836303585598e+08, -5.9641306472922564e+07, +2.8885679216935671e+01, +4.4609019092457407e+00, +1.9335128906445478e+00
01-JUL-2028 08:00:00.0000 ET, +2.5407288500122476e+07, -1.3758568556049514e+08, -5.9640145960228890e+07, +2.8885104398672524e+01, +4.4640159498572958e+00, +1.9348627504430351e+00
01-JUL-2028 08:10:00.0000 ET, +2.5424619390218183e+07, -1.3758300621672848e+08, -5.9638984637627371e+07, +2.8884529188345180e+01, +4.4671299287919579e+00, +1.9362125835089452e+00
01-JUL-2028 08:20:00.0000 ET, +2.5441949935070083e+07, -1.3758032500459293e+08, -5.9637822505134046e+07, +2.8883953585961308e+01, +4.4702438460096037e+00, +1.9375623898248875e+00
01-JUL-2028 08:30:00.0000 ET, +2.5459280134442933e+07, -1.3757764192412564e+08, -5.9636659562764943e+07, +2.8883377591528618e+01, +4.4733577014701149e+00, +1.9389121693734701e+00
01-JUL-2028 08:40:00.0000 ET, +2.5476609988101505e+07, -1.3757495697536355e+08, -5.9635495810536146e+07, +2.8882801205054772e+01, +4.4764714951333646e+00, +1.9402619221373008e+00
01-JUL-2028 08:50:00.0000 ET, +2.5493939495810587e+07, -1.3757227015834385e+08, -5.9634331248463735e+07, +2.8882224426547509e+01, +4.4795852269592391e+00, +1.9416116480989913e+00
01-JUL-2028 09:00:00.0000 ET, +2.5511268657334954e+07, -1.3756958147310355e+08, -5.9633165876563787e+07, +2.8881647256014503e+01, +4.4826988969076167e+00, +1.9429613472411491e+00
01-JUL-2028 09:10:00.0000 ET, +2.5528597472439401e+07, -1.3756689091967991e+08, -5.9631999694852419e+07, +2.8881069693463466e+01, +4.4858125049383792e+00, +1.9443110195463842e+00
01-JUL-2028 09:20:00.0000 ET, +2.5545925940888710e+07, -1.3756419849811003e+08, -5.9630832703345709e+07, +2.8880491738902119e+01, +4.4889260510114086e+00, +1.9456606649973083e+00
01-JUL-2028 09:30:00.0000 ET, +2.5563254062447678e+07, -1.3756150420843109e+08, -5.9629664902059793e+07, +2.8879913392338175e+01, +4.4920395350865876e+00, +1.9470102835765306e+00
01-JUL-2028 09:40:00.0000 ET, +2.5580581836881116e+07, -1.3755880805068034e+08, -5.9628496291010797e+07, +2.8879334653779356e+01, +4.4951529571238007e+00, +1.9483598752666631e+00
01-JUL-2028 09:50:00.0000 ET, +2.5597909263953820e+07, -1.3755611002489495e+08, -5.9627326870214850e+07, +2.8878755523233391e+01, +4.4982663170829333e+00, +1.9497094400503161e+00
01-JUL-2028 10:00:00.0000 ET, +2.5615236343430605e+07, -1.3755341013111225e+08, -5.9626156639688112e+07, +2.8878176000707999e+01, +4.5013796149238692e+00, +1.9510589779101017e+00
01-JUL-2028 10:10:00.0000 ET, +2.5632563075076275e+07, -1.3755070836936948e+08, -5.9624985599446751e+07, +2.8877596086210932e+01, +4.5044928506064945e+00, +1.9524084888286315e+00
01-JUL-2028 10:20:00.0000 ET, +2.5649889458655667e+07, -1.3754800473970395e+08, -5.9623813749506913e+07, +2.8877015779749918e+01, +4.5076060240906983e+00, +1.9537579727885179e+00
