# Sun->Apophis in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 05:10:00.0000 ET, -3.9294402751242504e+07, +1.3934817375493217e+08, +5.0787405042877890e+07, -2.7562501827957494e+01, -2.4316281827581867e+00, -1.5973626387799724e+00
13-DEC-2028 05:20:00.0000 ET, -3.9310939992405102e+07, +1.3934671385643932e+08, +5.0786446289414220e+07, -2.7561635327245920e+01, -2.4347000954356046e+00, -1.5984822271300705e+00
13-DEC-2028 05:30:00.0000 ET, -3.9327476713571072e+07, +1.3934525211485529e+08, +5.0785486864220940e+07, -2.7560768505897162e+01, -2.4377718200444565e+00, -1.5996017374906555e+00
13-DEC-2028 05:40:00.0000 ET, -3.9344012914548062e+07, +1.3934378853029284e+08, +5.0784526767344803e+07, -2.7559901363994115e+01, -2.4408433568541028e+00, -1.6007211699950630e+00
13-DEC-2028 05:50:00.0000 ET, -3.9360548595143758e+07, +1.3934232310286471e+08, +5.0783565998832539e+07, -2.7559033901545078e+01, -2.4439147056117618e+00, -1.6018405245760665e+00
13-DEC-2028 06:00:00.0000 ET, -3.9377083755165830e+07, +1.3934085583268368e+08, +5.0782604558730893e+07, -2.7558166118528053e+01, -2.4469858671941456e+00, -1.6029598013254789e+00
13-DEC-2028 06:10:00.0000 ET, -3.9393618394422010e+07, +1.3933938671986258e+08, +5.0781642447086602e+07, -2.7557298015235535e+01, -2.4500568393071505e+00, -1.6040790000344334e+00
13-DEC-2028 06:20:00.0000 ET, -3.9410152512720026e+07, +1.3933791576451412e+08, +5.0780679663946442e+07, -2.7556429591434885e+01, -2.4531276241913225e+00, -1.6051981208582313e+00
13-DEC-2028 06:30:00.0000 ET, -3.9426686109867670e+07, +1.3933644296675116e+08, +5.0779716209357150e+07, -2.7555560847303472e+01, -2.4561982210269466e+00, -1.6063171638067550e+00
13-DEC-2028 06:40:00.0000 ET, -3.9443219185672708e+07, +1.3933496832668647e+08, +5.0778752083365463e+07, -2.7554691782777901e+01, -2.4592686299559965e+00, -1.6074361288245773e+00
13-DEC-2028 06:50:00.0000 ET, -3.9459751739942968e+07, +1.3933349184443283e+08, +5.0777787286018141e+07, -2.7553822398031642e+01, -2.4623388508378077e+00, -1.6085550159163298e+00
13-DEC-2028 07:00:00.0000 ET, -3.9476283772486277e+07, +1.3933201352010304e+08, +5.0776821817361951e+07, -2.7552952692980831e+01, -2.4654088837361181e+00, -1.6096738250847833e+00
13-DEC-2028 07:10:00.0000 ET, -3.9492815283110507e+07, +1.3933053335380998e+08, +5.0775855677443624e+07, -2.7552082667771831e+01, -2.4684787284915841e+00, -1.6107925563314367e+00
13-DEC-2028 07:20:00.0000 ET, -3.9509346271623574e+07, +1.3932905134566647e+08, +5.0774888866309941e+07, -2.7551212322383190e+01, -2.4715483852781235e+00, -1.6119112096138137e+00
13-DEC-2028 07:30:00.0000 ET, -3.9525876737833329e+07, +1.3932756749578527e+08, +5.0773921384007663e+07, -2.7550341656791964e+01, -2.4746178542315245e+00, -1.6130297850545869e+00
13-DEC-2028 07:40:00.0000 ET, -3.9542406681547776e+07, +1.3932608180427927e+08, +5.0772953230583549e+07, -2.7549470671249065e+01, -2.4776871346436957e+00, -1.6141482824222577e+00
13-DEC-2028 07:50:00.0000 ET, -3.9558936102574855e+07, +1.3932459427126130e+08, +5.0771984406084336e+07, -2.7548599365637482e+01, -2.4807562272467010e+00, -1.6152667019272064e+00
13-DEC-2028 08:00:00.0000 ET, -3.9575465000722535e+07, +1.3932310489684418e+08, +5.0771014910556830e+07, -2.7547727739971965e+01, -2.4838251317656450e+00, -1.6163850434631615e+00
13-DEC-2028 08:10:00.0000 ET, -3.9591993375798829e+07, +1.3932161368114081e+08, +5.0770044744047768e+07, -2.7546855794374665e+01, -2.4868938481132816e+00, -1.6175033070828235e+00
13-DEC-2028 08:20:00.0000 ET, -3.9608521227611795e+07, +1.3932012062426403e+08, +5.0769073906603925e+07, -2.7545983528852894e+01, -2.4899623764948844e+00, -1.6186214927363385e+00
13-DEC-2028 08:30:00.0000 ET, -3.9625048555969484e+07, +1.3931862572632670e+08, +5.0768102398272067e+07, -2.7545110943457651e+01, -2.4930307166156473e+00, -1.6197396004616955e+00
13-DEC-2028 08:40:00.0000 ET, -3.9641575360679969e+07, +1.3931712898744169e+08, +5.0767130219098970e+07, -2.7544238038189949e+01, -2.4960988687080272e+00, -1.6208576301893698e+00
13-DEC-2028 08:50:00.0000 ET, -3.9658101641551360e+07, +1.3931563040772191e+08, +5.0766157369131424e+07, -2.7543364813187594e+01, -2.4991668326106939e+00, -1.6219755820035606e+00
13-DEC-2028 09:00:00.0000 ET, -3.9674627398391813e+07, +1.3931412998728022e+08, +5.0765183848416172e+07, -2.7542491268303653e+01, -2.5022346087492782e+00, -1.6230934560002428e+00
13-DEC-2028 09:10:00.0000 ET, -3.9691152631009474e+07, +1.3931262772622949e+08, +5.0764209657000028e+07, -2.7541617403878767e+01, -2.5053021959784556e+00, -1.6242112516925014e+00
13-DEC-2028 09:20:00.0000 ET, -3.9707677339212522e+07, +1.3931112362468266e+08, +5.0763234794929743e+07, -2.7540743219677669e+01, -2.5083695953944805e+00, -1.6253289695791302e+00
13-DEC-2028 09:30:00.0000 ET, -3.9724201522809163e+07, +1.3930961768275261e+08, +5.0762259262252115e+07, -2.7539868715848396e+01, -2.5114368066827941e+00, -1.6264466095369159e+00
13-DEC-2028 09:40:00.0000 ET, -3.9740725181607634e+07, +1.3930810990055227e+08, +5.0761283059013911e+07, -2.7538993892459889e+01, -2.5145038297246138e+00, -1.6275641714696991e+00
13-DEC-2028 09:50:00.0000 ET, -3.9757248315416187e+07, +1.3930660027819458e+08, +5.0760306185261928e+07, -2.7538118749456626e+01, -2.5175706646261684e+00, -1.6286816555029064e+00
13-DEC-2028 10:00:00.0000 ET, -3.9773770924043097e+07, +1.3930508881579238e+08, +5.0759328641042925e+07, -2.7537243287000337e+01, -2.5206373112802734e+00, -1.6297990614803641e+00
13-DEC-2028 10:10:00.0000 ET, -3.9790293007296681e+07, +1.3930357551345867e+08, +5.0758350426403724e+07, -2.7536367505043760e+01, -2.5237037696934852e+00, -1.6309163895441439e+00
13-DEC-2028 10:20:00.0000 ET, -3.9806814564985260e+07, +1.3930206037130642e+08, +5.0757371541391097e+07, -2.7535491403636197e+01, -2.5267700399428130e+00, -1.6320336395659312e+00
13-DEC-2028 10:30:00.0000 ET, -3.9823335596917190e+07, +1.3930054338944843e+08, +5.0756391986051820e+07, -2.7534614982886790e+01, -2.5298361219554946e+00, -1.6331508116092135e+00
13-DEC-2028 10:40:00.0000 ET, -3.9839856102900840e+07, +1.3929902456799781e+08, +5.0755411760432720e+07, -2.7533738242748512e+01, -2.5329020155754045e+00, -1.6342679057204017e+00
13-DEC-2028 10:50:00.0000 ET, -3.9856376082744628e+07, +1.3929750390706742e+08, +5.0754430864580579e+07, -2.7532861183325419e+01, -2.5359677210143907e+00, -1.6353849217658682e+00
13-DEC-2028 11:00:00.0000 ET, -3.9872895536256976e+07, +1.3929598140677023e+08, +5.0753449298542179e+07, -2.7531983804609908e+01, -2.5390332381800529e+00, -1.6365018598864460e+00
13-DEC-2028 11:10:00.0000 ET, -3.9889414463246323e+07, +1.3929445706721923e+08, +5.0752467062364332e+07, -2.7531106106700015e+01, -2.5420985670724021e+00, -1.6376187199401480e+00
13-DEC-2028 11:20:00.0000 ET, -3.9905932863521159e+07, +1.3929293088852739e+08, +5.0751484156093828e+07, -2.7530228089552455e+01, -2.5451637076883635e+00, -1.6387355020841756e+00
13-DEC-2028 11:30:00.0000 ET, -3.9922450736889973e+07, +1.3929140287080771e+08, +5.0750500579777457e+07, -2.7529349753301876e+01, -2.5482286599823523e+00, -1.6398522061376966e+00
13-DEC-2028 11:40:00.0000 ET, -3.9938968083161287e+07, +1.3928987301417309e+08, +5.0749516333462045e+07, -2.7528471097926488e+01, -2.5512934239697578e+00, -1.6409688322423486e+00
13-DEC-2028 11:50:00.0000 ET, -3.9955484902143680e+07, +1.3928834131873661e+08, +5.0748531417194389e+07, -2.7527592123492013e+01, -2.5543579995819115e+00, -1.6420853802907034e+00
13-DEC-2028 12:00:00.0000 ET, -3.9972001193645686e+07, +1.3928680778461120e+08, +5.0747545831021287e+07, -2.7526712830012805e+01, -2.5574223873485318e+00, -1.6432018505531250e+00
13-DEC-2028 12:10:00.0000 ET, -3.9988516957475908e+07, +1.3928527241190997e+08, +5.0746559574989572e+07, -2.7525833217583809e+01, -2.5604865858683796e+00, -1.6443182423850979e+00
13-DEC-2028 12:20:00.0000 ET, -4.0005032193442993e+07, +1.3928373520074585e+08, +5.0745572649146013e+07, -2.7524953286189124e+01, -2.5635505964912997e+00, -1.6454345564405177e+00
13-DEC-2028 12:30:00.0000 ET, -4.0021546901355565e+07, +1.3928219615123186e+08, +5.0744585053537451e+07, -2.7524073035914956e+01, -2.5666144186918585e+00, -1.6465507924383429e+00
13-DEC-2028 12:40:00.0000 ET, -4.0038061081022307e+07, +1.3928065526348105e+08, +5.0743596788210697e+07, -2.7523192466757848e+01, -2.5696780526089533e+00, -1.6476669504055934e+00
13-DEC-2028 12:50:00.0000 ET, -4.0054574732251905e+07, +1.3927911253760642e+08, +5.0742607853212543e+07, -2.7522311578770992e+01, -2.5727414980685803e+00, -1.6487830304145437e+00
13-DEC-2028 13:00:00.0000 ET, -4.0071087854853079e+07, +1.3927756797372103e+08, +5.0741618248589821e+07, -2.7521430372012325e+01, -2.5758047551954921e+00, -1.6498990323282077e+00
13-DEC-2028 13:10:00.0000 ET, -4.0087600448634580e+07, +1.3927602157193789e+08, +5.0740627974389352e+07, -2.7520548846535299e+01, -2.5788678238171867e+00, -1.6510149562229721e+00
13-DEC-2028 13:20:00.0000 ET, -4.0104112513405167e+07, +1.3927447333237013e+08, +5.0739637030657962e+07, -2.7519667002326315e+01, -2.5819307040946984e+00, -1.6521308021079042e+00
13-DEC-2028 13:30:00.0000 ET, -4.0120624048973635e+07, +1.3927292325513068e+08, +5.0738645417442456e+07, -2.7518784839458799e+01, -2.5849933961459390e+00, -1.6532465700570440e+00
13-DEC-2028 13:40:00.0000 ET, -4.0137135055148803e+07, +1.3927137134033275e+08, +5.0737653134789653e+07, -2.7517902357971799e+01, -2.5880558992698117e+00, -1.6543622597274441e+00
13-DEC-2028 13:50:00.0000 ET, -4.0153645531739518e+07, +1.3926981758808923e+08, +5.0736660182746395e+07, -2.7517019557954573e+01, -2.5911182142488451e+00, -1.6554778714481668e+00
13-DEC-2028 14:00:00.0000 ET, -4.0170155478554636e+07, +1.3926826199851337e+08, +5.0735666561359510e+07, -2.7516136439357165e+01, -2.5941803406701478e+00, -1.6565934051690288e+00
13-DEC-2028 14:10:00.0000 ET, -4.0186664895403042e+07, +1.3926670457171810e+08, +5.0734672270675808e+07, -2.7515253002254525e+01, -2.5972422787367471e+00, -1.6577088608164592e+00
13-DEC-2028 14:20:00.0000 ET, -4.0203173782093652e+07, +1.3926514530781657e+08, +5.0733677310742132e+07, -2.7514369246718474e+01, -2.6003040282121708e+00, -1.6588242384297172e+00
13-DEC-2028 14:30:00.0000 ET, -4.0219682138435408e+07, +1.3926358420692191e+08, +5.0732681681605317e+07, -2.7513485172736424e+01, -2.6033655893065428e+00, -1.6599395379718667e+00
13-DEC-2028 14:40:00.0000 ET, -4.0236189964237265e+07, +1.3926202126914713e+08, +5.0731685383312173e+07, -2.7512600780402835e+01, -2.6064269618064109e+00, -1.6610547594790410e+00
13-DEC-2028 14:50:00.0000 ET, -4.0252697259308234e+07, +1.3926045649460545e+08, +5.0730688415909566e+07, -2.7511716069756513e+01, -2.6094881458427133e+00, -1.6621699028891739e+00
13-DEC-2028 15:00:00.0000 ET, -4.0269204023457304e+07, +1.3925888988340983e+08, +5.0729690779444307e+07, -2.7510831040618609e+01, -2.6125491418360292e+00, -1.6632849683156137e+00
13-DEC-2028 15:10:00.0000 ET, -4.0285710256493516e+07, +1.3925732143567353e+08, +5.0728692473963253e+07, -2.7509945693543553e+01, -2.6156099483135424e+00, -1.6643999555894931e+00
13-DEC-2028 15:20:00.0000 ET, -4.0302215958225928e+07, +1.3925575115150961e+08, +5.0727693499513224e+07, -2.7509060028129799e+01, -2.6186705667165442e+00, -1.6655148648138038e+00
13-DEC-2028 15:30:00.0000 ET, -4.0318721128463626e+07, +1.3925417903103119e+08, +5.0726693856141090e+07, -2.7508174044507481e+01, -2.6217309965950091e+00, -1.6666296959768698e+00
13-DEC-2028 15:40:00.0000 ET, -4.0335225767015725e+07, +1.3925260507435140e+08, +5.0725693543893650e+07, -2.7507287742772707e+01, -2.6247912379166989e+00, -1.6677444491084148e+00
13-DEC-2028 15:50:00.0000 ET, -4.0351729873691335e+07, +1.3925102928158340e+08, +5.0724692562817797e+07, -2.7506401122935696e+01, -2.6278512906489331e+00, -1.6688591240744071e+00
13-DEC-2028 16:00:00.0000 ET, -4.0368233448299631e+07, +1.3924945165284032e+08, +5.0723690912960358e+07, -2.7505514185054700e+01, -2.6309111548006623e+00, -1.6699737210483012e+00
13-DEC-2028 16:10:00.0000 ET, -4.0384736490649797e+07, +1.3924787218823534e+08, +5.0722688594368167e+07, -2.7504626929149204e+01, -2.6339708303884404e+00, -1.6710882399056481e+00
13-DEC-2028 16:20:00.0000 ET, -4.0401239000551030e+07, +1.3924629088788161e+08, +5.0721685607088089e+07, -2.7503739355296300e+01, -2.6370303172874752e+00, -1.6722026806555916e+00
13-DEC-2028 16:30:00.0000 ET, -4.0417740977812558e+07, +1.3924470775189233e+08, +5.0720681951166980e+07, -2.7502851463337702e+01, -2.6400896157157296e+00, -1.6733170434781843e+00
13-DEC-2028 16:40:00.0000 ET, -4.0434242422243647e+07, +1.3924312278038058e+08, +5.0719677626651689e+07, -2.7501963253811098e+01, -2.6431487253819865e+00, -1.6744313279550098e+00
13-DEC-2028 16:50:00.0000 ET, -4.0450743333653562e+07, +1.3924153597345957e+08, +5.0718672633589052e+07, -2.7501074726274755e+01, -2.6462076463940494e+00, -1.6755455344372203e+00
13-DEC-2028 17:00:00.0000 ET, -4.0467243711851619e+07, +1.3923994733124253e+08, +5.0717666972025961e+07, -2.7500185880936161e+01, -2.6492663789647626e+00, -1.6766596628741792e+00
13-DEC-2028 17:10:00.0000 ET, -4.0483743556647129e+07, +1.3923835685384265e+08, +5.0716660642009243e+07, -2.7499296717816545e+01, -2.6523249226159646e+00, -1.6777737131519845e+00
13-DEC-2028 17:20:00.0000 ET, -4.0500242867849454e+07, +1.3923676454137307e+08, +5.0715653643585779e+07, -2.7498407236979688e+01, -2.6553832778695692e+00, -1.6788876853957555e+00
13-DEC-2028 17:30:00.0000 ET, -4.0516741645267963e+07, +1.3923517039394701e+08, +5.0714645976802416e+07, -2.7497517438445826e+01, -2.6584414441870114e+00, -1.6800015794656833e+00
13-DEC-2028 17:40:00.0000 ET, -4.0533239888712056e+07, +1.3923357441167769e+08, +5.0713637641706020e+07, -2.7496627322268576e+01, -2.6614994220825370e+00, -1.6811153955010041e+00
13-DEC-2028 17:50:00.0000 ET, -4.0549737597991161e+07, +1.3923197659467834e+08, +5.0712628638343453e+07, -2.7495736888491631e+01, -2.6645572110554836e+00, -1.6822291333588570e+00
13-DEC-2028 18:00:00.0000 ET, -4.0566234772914723e+07, +1.3923037694306216e+08, +5.0711618966761597e+07, -2.7494846137011933e+01, -2.6676148121265659e+00, -1.6833427933794516e+00
13-DEC-2028 18:10:00.0000 ET, -4.0582731413292214e+07, +1.3922877545694238e+08, +5.0710608627007321e+07, -2.7493955068245462e+01, -2.6706722230123394e+00, -1.6844563747846524e+00
13-DEC-2028 18:20:00.0000 ET, -4.0599227518933147e+07, +1.3922717213643223e+08, +5.0709597619127460e+07, -2.7493063681927854e+01, -2.6737294459878322e+00, -1.6855698783466078e+00
13-DEC-2028 18:30:00.0000 ET, -4.0615723089647010e+07, +1.3922556698164496e+08, +5.0708585943168931e+07, -2.7492171978075650e+01, -2.6767864801021011e+00, -1.6866833037540110e+00
13-DEC-2028 18:40:00.0000 ET, -4.0632218125243373e+07, +1.3922395999269381e+08, +5.0707573599178575e+07, -2.7491279956903302e+01, -2.6798433255776266e+00, -1.6877966510551536e+00
13-DEC-2028 18:50:00.0000 ET, -4.0648712625531800e+07, +1.3922235116969201e+08, +5.0706560587203287e+07, -2.7490387618299245e+01, -2.6828999822449666e+00, -1.6889099202356019e+00
13-DEC-2028 19:00:00.0000 ET, -4.0665206590321884e+07, +1.3922074051275286e+08, +5.0705546907289930e+07, -2.7489494962428633e+01, -2.6859564501711293e+00, -1.6900231112710242e+00
13-DEC-2028 19:10:00.0000 ET, -4.0681700019423246e+07, +1.3921912802198958e+08, +5.0704532559485383e+07, -2.7488601989221163e+01, -2.6890127292861741e+00, -1.6911362241946302e+00
13-DEC-2028 19:20:00.0000 ET, -4.0698192912645519e+07, +1.3921751369751549e+08, +5.0703517543836534e+07, -2.7487708698803360e+01, -2.6920688196311811e+00, -1.6922492589552962e+00
13-DEC-2028 19:30:00.0000 ET, -4.0714685269798353e+07, +1.3921589753944379e+08, +5.0702501860390261e+07, -2.7486815091105299e+01, -2.6951247216082694e+00, -1.6933622156256138e+00
13-DEC-2028 19:40:00.0000 ET, -4.0731177090691507e+07, +1.3921427954788789e+08, +5.0701485509193428e+07, -2.7485921166402527e+01, -2.6981804338793958e+00, -1.6944750940959201e+00
13-DEC-2028 19:50:00.0000 ET, -4.0747668375134595e+07, +1.3921265972296092e+08, +5.0700468490292959e+07, -2.7485026924455386e+01, -2.7012359578285476e+00, -1.6955878944442908e+00
13-DEC-2028 20:00:00.0000 ET, -4.0764159122937441e+07, +1.3921103806477627e+08, +5.0699450803735718e+07, -2.7484132365481514e+01, -2.7042912928665155e+00, -1.6967006166661742e+00
13-DEC-2028 20:10:00.0000 ET, -4.0780649333909757e+07, +1.3920941457344723e+08, +5.0698432449568599e+07, -2.7483237489426063e+01, -2.7073464391463151e+00, -1.6978132607201668e+00
13-DEC-2028 20:20:00.0000 ET, -4.0797139007861353e+07, +1.3920778924908710e+08, +5.0697413427838482e+07, -2.7482342296389959e+01, -2.7104013965370841e+00, -1.6989258266375766e+00
13-DEC-2028 20:30:00.0000 ET, -4.0813628144602038e+07, +1.3920616209180915e+08, +5.0696393738592267e+07, -2.7481446786387416e+01, -2.7134561650998967e+00, -1.7000383143885982e+00
13-DEC-2028 20:40:00.0000 ET, -4.0830116743941635e+07, +1.3920453310172677e+08, +5.0695373381876841e+07, -2.7480550959455694e+01, -2.7165107447472074e+00, -1.7011507239961008e+00
13-DEC-2028 20:50:00.0000 ET, -4.0846604805690020e+07, +1.3920290227895325e+08, +5.0694352357739113e+07, -2.7479654815665310e+01, -2.7195651355325223e+00, -1.7022630554357630e+00
13-DEC-2028 21:00:00.0000 ET, -4.0863092329657055e+07, +1.3920126962360185e+08, +5.0693330666225962e+07, -2.7478758354861117e+01, -2.7226193376607597e+00, -1.7033753087598726e+00
13-DEC-2028 21:10:00.0000 ET, -4.0879579315652668e+07, +1.3919963513578603e+08, +5.0692308307384290e+07, -2.7477861577578949e+01, -2.7256733504499886e+00, -1.7044874838174011e+00
13-DEC-2028 21:20:00.0000 ET, -4.0896065763486788e+07, +1.3919799881561908e+08, +5.0691285281261005e+07, -2.7476964483373962e+01, -2.7287271745562212e+00, -1.7055995807804276e+00
13-DEC-2028 21:30:00.0000 ET, -4.0912551672969364e+07, +1.3919636066321433e+08, +5.0690261587903000e+07, -2.7476067072441975e+01, -2.7317808097080523e+00, -1.7067115995406295e+00
13-DEC-2028 21:40:00.0000 ET, -4.0929037043910392e+07, +1.3919472067868522e+08, +5.0689237227357186e+07, -2.7475169344867755e+01, -2.7348342559721592e+00, -1.7078235401462454e+00
13-DEC-2028 21:50:00.0000 ET, -4.0945521876119860e+07, +1.3919307886214495e+08, +5.0688212199670456e+07, -2.7474271300591795e+01, -2.7378875132911773e+00, -1.7089354025862566e+00
13-DEC-2028 22:00:00.0000 ET, -4.0962006169407800e+07, +1.3919143521370703e+08, +5.0687186504889719e+07, -2.7473372939775754e+01, -2.7409405816646033e+00, -1.7100471868357079e+00
13-DEC-2028 22:10:00.0000 ET, -4.0978489923584275e+07, +1.3918978973348477e+08, +5.0686160143061899e+07, -2.7472474262381368e+01, -2.7439934610430585e+00, -1.7111588928933887e+00
13-DEC-2028 22:20:00.0000 ET, -4.0994973138459362e+07, +1.3918814242159158e+08, +5.0685133114233881e+07, -2.7471575268445580e+01, -2.7470461514650006e+00, -1.7122705207817988e+00
13-DEC-2028 22:30:00.0000 ET, -4.1011455813843116e+07, +1.3918649327814084e+08, +5.0684105418452598e+07, -2.7470675957969441e+01, -2.7500986530297769e+00, -1.7133820705259737e+00
13-DEC-2028 22:40:00.0000 ET, -4.1027937949545749e+07, +1.3918484230324590e+08, +5.0683077055764951e+07, -2.7469776331230285e+01, -2.7531509654389135e+00, -1.7144935419797422e+00
13-DEC-2028 22:50:00.0000 ET, -4.1044419545377351e+07, +1.3918318949702021e+08, +5.0682048026217856e+07, -2.7468876388015524e+01, -2.7562030887309978e+00, -1.7156049352923961e+00
13-DEC-2028 23:00:00.0000 ET, -4.1060900601148091e+07, +1.3918153485957715e+08, +5.0681018329858236e+07, -2.7467976128418858e+01, -2.7592550233307049e+00, -1.7167162504295044e+00
13-DEC-2028 23:10:00.0000 ET, -4.1077381116668187e+07, +1.3917987839103007e+08, +5.0679987966732994e+07, -2.7467075552515333e+01, -2.7623067687020249e+00, -1.7178274873356332e+00
