# Sun->Apophis in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 05:10:00.0000 ET, -6.1487050212170124e+07, -1.0918979200935316e+08, -4.2119321219506189e+07, +3.0925289565882299e+01, -9.1027628402828746e+00, -2.6037002351132372e+00
01-JUL-2028 05:20:00.0000 ET, -6.1468494402757533e+07, -1.0919525253808019e+08, -4.2120883004152872e+07, +3.0927408398532759e+01, -9.0989995002134041e+00, -2.6022485583237525e+00
01-JUL-2028 05:30:00.0000 ET, -6.1449937322184995e+07, -1.0920071080865395e+08, -4.2122443917741559e+07, +3.0929526765689861e+01, -9.0952356628126623e+00, -2.6007967084652552e+00
01-JUL-2028 05:40:00.0000 ET, -6.1431378970731825e+07, -1.0920616682077605e+08, -4.2124003960168406e+07, +3.0931644667253373e+01, -9.0914713279156398e+00, -2.5993446854789335e+00
01-JUL-2028 05:50:00.0000 ET, -6.1412819348677434e+07, -1.0921162057414800e+08, -4.2125563131329522e+07, +3.0933762103098530e+01, -9.0877064955849072e+00, -2.5978924893923003e+00
01-JUL-2028 06:00:00.0000 ET, -6.1394258456301279e+07, -1.0921707206847128e+08, -4.2127121431121066e+07, +3.0935879073088252e+01, -9.0839411660061771e+00, -2.5964401201224510e+00
01-JUL-2028 06:10:00.0000 ET, -6.1375696293882921e+07, -1.0922252130344760e+08, -4.2128678859439187e+07, +3.0937995577103624e+01, -9.0801753387650503e+00, -2.5949875779726890e+00
01-JUL-2028 06:20:00.0000 ET, -6.1357132861701988e+07, -1.0922796827877837e+08, -4.2130235416180007e+07, +3.0940111614982602e+01, -9.0764090143102045e+00, -2.5935348626033123e+00
01-JUL-2028 06:30:00.0000 ET, -6.1338568160038188e+07, -1.0923341299416526e+08, -4.2131791101239711e+07, +3.0942227186624361e+01, -9.0726421923980851e+00, -2.5920819742399130e+00
01-JUL-2028 06:40:00.0000 ET, -6.1320002189171314e+07, -1.0923885544930980e+08, -4.2133345914514467e+07, +3.0944342291885480e+01, -9.0688748732167923e+00, -2.5906289127702320e+00
01-JUL-2028 06:50:00.0000 ET, -6.1301434949381217e+07, -1.0924429564391363e+08, -4.2134899855900429e+07, +3.0946456930656950e+01, -9.0651070566283440e+00, -2.5891756782554296e+00
01-JUL-2028 07:00:00.0000 ET, -6.1282866440947860e+07, -1.0924973357767831e+08, -4.2136452925293766e+07, +3.0948571102773389e+01, -9.0613387427894843e+00, -2.5877222706992966e+00
01-JUL-2028 07:10:00.0000 ET, -6.1264296664151244e+07, -1.0925516925030547e+08, -4.2138005122590676e+07, +3.0950684808111944e+01, -9.0575699315441529e+00, -2.5862686901482785e+00
