# Apophis->SpacecraftY in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 05:10:00.0000 ET, +6.5803551894510759e-01, -2.0866358629610038e-01, +1.1025345502041106e+00, +3.1917125567884940e-05, +1.7741071158924058e-05, -2.3600354006927242e-05
13-DEC-2028 05:20:00.0000 ET, +6.7702260186766761e-01, -1.9796545680866329e-01, +1.0881075384005772e+00, +3.1369718566276668e-05, +1.7918156411624897e-05, -2.4489132807836843e-05
13-DEC-2028 05:30:00.0000 ET, +6.9567503813396436e-01, -1.8716326237784964e-01, +1.0731482841526745e+00, +3.0801595892645475e-05, +1.8087922526759612e-05, -2.5374444490560869e-05
13-DEC-2028 05:40:00.0000 ET, +7.1398032421554947e-01, -1.7626145246936598e-01, +1.0576589611396894e+00, +3.0212509392217577e-05, +1.8250174909334950e-05, -2.6255974974140717e-05
13-DEC-2028 05:50:00.0000 ET, +7.3192580578715538e-01, -1.6526459570778496e-01, +1.0416419364837366e+00, +2.9602204603857618e-05, +1.8404710908130539e-05, -2.7133393363823434e-05
13-DEC-2028 06:00:00.0000 ET, +7.4949867404119186e-01, -1.5417738478963439e-01, +1.0250997811284350e+00, +2.8970421170883412e-05, +1.8551319589942407e-05, -2.8006351024817489e-05
13-DEC-2028 06:10:00.0000 ET, +7.6668596215112439e-01, -1.4300464159079151e-01, +1.0080352808593667e+00, +2.8316892711918461e-05, +1.8689781205424555e-05, -2.8874480227731619e-05
13-DEC-2028 06:20:00.0000 ET, +7.8347454206934308e-01, -1.3175132238845511e-01, +9.9045144789197548e-01, +2.7641348104142203e-05, +1.8819867361879735e-05, -2.9737393637711812e-05
13-DEC-2028 06:30:00.0000 ET, +7.9985112142906500e-01, -1.2042252333554260e-01, +9.7235153322702395e-01, +2.6943511113876431e-05, +1.8941340304642911e-05, -3.0594682638067728e-05
13-DEC-2028 06:40:00.0000 ET, +8.1580224085732755e-01, -1.0902348604605572e-01, +9.5373903962427109e-01, +2.6223101257413556e-05, +1.9053952805987553e-05, -3.1445916365775010e-05
13-DEC-2028 06:50:00.0000 ET, +8.3131427154786086e-01, -9.7559603391141336e-02, +9.3461773535149595e-01, +2.5479834347349214e-05, +1.9157447857141221e-05, -3.2290640449147475e-05
13-DEC-2028 07:00:00.0000 ET, +8.4637341322657333e-01, -8.6036425456835097e-02, +9.1499166867823911e-01, +2.4713423120577138e-05, +1.9251558365625836e-05, -3.3128375695269483e-05
13-DEC-2028 07:10:00.0000 ET, +8.6096569251697896e-01, -7.4459665683109688e-02, +8.9486518317474251e-01, +2.3923577965756432e-05, +1.9336006866079356e-05, -3.3958616735477774e-05
