# Apophis->SpacecraftX in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 05:10:00.0000 ET, -1.8899323534664314e+00, +8.1306751364396135e-04, +2.7351702820998853e+00, -2.0558395092006764e-05, +1.6458184486949162e-05, -1.4210214950503246e-05
01-JUL-2028 05:20:00.0000 ET, -1.9022407502255265e+00, +1.0686144122528329e-02, +2.7266036324234713e+00, -2.0469491978587796e-05, +1.6451994711364999e-05, -1.4345213106721550e-05
01-JUL-2028 05:30:00.0000 ET, -1.9144956215390370e+00, +2.0555369804266643e-02, +2.7179561118090922e+00, -2.0379977356558907e-05, +1.6445348120528436e-05, -1.4479784076490405e-05
01-JUL-2028 05:40:00.0000 ET, -1.9266966012579054e+00, +3.0420470577713576e-02, +2.7092279777661852e+00, -2.0289853757425364e-05, +1.6438245082795747e-05, -1.4613923874353118e-05
01-JUL-2028 05:50:00.0000 ET, -1.9388433247555825e+00, +4.0281172684697886e-02, +2.7004194901936813e+00, -2.0199123697172870e-05, +1.6430685950793867e-05, -1.4747628503241247e-05
01-JUL-2028 06:00:00.0000 ET, -1.9509354289468459e+00, +5.0137202604711995e-02, +2.6915309113654100e+00, -2.0107789878383145e-05, +1.6422671232261874e-05, -1.4880894102798265e-05
01-JUL-2028 06:10:00.0000 ET, -1.9629725522500094e+00, +5.9988287021215392e-02, +2.6825625059584364e+00, -2.0015854577458183e-05, +1.6414201071109496e-05, -1.5013716497190566e-05
01-JUL-2028 06:20:00.0000 ET, -1.9749543346995839e+00, +6.9834152915455139e-02, +2.6735145409700198e+00, -1.9923320673639968e-05, +1.6405276119926165e-05, -1.5146091957480729e-05
01-JUL-2028 06:30:00.0000 ET, -1.9868804178420321e+00, +7.9674527476373047e-02, +2.6643872857952378e+00, -1.9830190683372305e-05, +1.6395896720706879e-05, -1.5278016484938545e-05
01-JUL-2028 06:40:00.0000 ET, -1.9987504448305753e+00, +8.9509138179851622e-02, +2.6551810121556310e+00, -1.9736467252183544e-05, +1.6386063322708526e-05, -1.5409486177609426e-05
01-JUL-2028 06:50:00.0000 ET, -2.0105640603856791e+00, +9.9337712753265084e-02, +2.6458959941294671e+00, -1.9642153025173814e-05, +1.6375776372021744e-05, -1.5540497132766319e-05
01-JUL-2028 07:00:00.0000 ET, -2.0223209108349236e+00, +1.0915997920811238e-01, +2.6365325081210926e+00, -1.9547250669612957e-05, +1.6365036331134370e-05, -1.5671045464780178e-05
01-JUL-2028 07:10:00.0000 ET, -2.0340206441035678e+00, +1.1897566583022634e-01, +2.6270908328684346e+00, -1.9451762887230730e-05, +1.6353843689680911e-05, -1.5801127315179788e-05
01-JUL-2028 07:20:00.0000 ET, -2.0456629097499879e+00, +1.2878450120904095e-01, +2.6175712494145413e+00, -1.9355692355413364e-05, +1.6342198913327182e-05, -1.5930738805692309e-05
01-JUL-2028 07:30:00.0000 ET, -2.0572473589388798e+00, +1.3858621421217032e-01, +2.6079740411303178e+00, -1.9259041701931587e-05, +1.6330102420408967e-05, -1.6059876014325919e-05
01-JUL-2028 07:40:00.0000 ET, -2.0687736445062841e+00, +1.4838053404121743e-01, +2.5982994936601638e+00, -1.9161814033347848e-05, +1.6317555049571307e-05, -1.6188535420282531e-05
01-JUL-2028 07:50:00.0000 ET, -2.0802414208970132e+00, +1.5816719017481518e-01, +2.5885478949744716e+00, -1.9064011746551864e-05, +1.6304557009960418e-05, -1.6316712908791372e-05
01-JUL-2028 08:00:00.0000 ET, -2.0916503442474994e+00, +1.6794591243981083e-01, +2.5787195353011945e+00, -1.8965637699489550e-05, +1.6291108914685590e-05, -1.6444404749658797e-05
01-JUL-2028 08:10:00.0000 ET, -2.1030000723489510e+00, +1.7771643097733847e-01, +2.5688147071559833e+00, -1.8866694713921632e-05, +1.6277211342560802e-05, -1.6571607183593868e-05
01-JUL-2028 08:20:00.0000 ET, -2.1142902646768893e+00, +1.8747847626717506e-01, +2.5588337053176096e+00, -1.8767185592395793e-05, +1.6262864852529755e-05, -1.6698316434898411e-05
01-JUL-2028 08:30:00.0000 ET, -2.1255205823978427e+00, +1.9723177913220935e-01, +2.5487768268217810e+00, -1.8667113160682064e-05, +1.6248070021452016e-05, -1.6824528747872655e-05
01-JUL-2028 08:40:00.0000 ET, -2.1366906883765955e+00, +2.0697607074293956e-01, +2.5386443709556135e+00, -1.8566480263818316e-05, +1.6232827440650675e-05, -1.6950240383667831e-05
01-JUL-2028 08:50:00.0000 ET, -2.1478002471888651e+00, +2.1671108262731220e-01, +2.5284366392461259e+00, -1.8465289746530209e-05, +1.6217137698091259e-05, -1.7075447602496861e-05
01-JUL-2028 09:00:00.0000 ET, -2.1588489251305196e+00, +2.2643654667739410e-01, +2.5181539354518852e+00, -1.8363544333684752e-05, +1.6201001267929869e-05, -1.7200146550379716e-05
01-JUL-2028 09:10:00.0000 ET, -2.1698363902430304e+00, +2.3615219517082053e-01, +2.5077965655398353e+00, -1.8261247455374636e-05, +1.6184419271315318e-05, -1.7324334037054536e-05
01-JUL-2028 09:20:00.0000 ET, -2.1807623122810798e+00, +2.4585776073920940e-01, +2.4973648377158293e+00, -1.8158401436847818e-05, +1.6167391808037159e-05, -1.7448005831425874e-05
01-JUL-2028 09:30:00.0000 ET, -2.1916263627700516e+00, +2.5555297641939445e-01, +2.4868590623705442e+00, -1.8055009432425163e-05, +1.6149919739182256e-05, -1.7571158483261489e-05
01-JUL-2028 09:40:00.0000 ET, -2.2024282149884997e+00, +2.6523757563514394e-01, +2.4762795520969800e+00, -1.7951074370234239e-05, +1.6132003714244746e-05, -1.7693788328770021e-05
01-JUL-2028 09:50:00.0000 ET, -2.2131675439934511e+00, +2.7491129221925448e-01, +2.4656266216652867e+00, -1.7846599204710018e-05, +1.6113644404099834e-05, -1.7815891729116419e-05
