# Apophis->SpacecraftX in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 05:10:00.0000 ET, -4.5974202431153527e-01, +1.0191032908897208e+00, -3.1309850187153252e+00, -2.8604061167448408e-05, -8.6763306390030096e-06, +1.3760563694316923e-06
13-DEC-2028 05:20:00.0000 ET, -4.7689721233991872e-01, +1.0138810320397225e+00, -3.1301143326678362e+00, -2.8579760082186768e-05, -8.7311555896106516e-06, +1.5262237620480125e-06
13-DEC-2028 05:30:00.0000 ET, -4.9403756986758174e-01, +1.0086259562856406e+00, -3.1291535586650814e+00, -2.8554626286251515e-05, -8.7857200236238278e-06, +1.6763488336727681e-06
13-DEC-2028 05:40:00.0000 ET, -5.1116259749575232e-01, +1.0033382204667269e+00, -3.1281027233951555e+00, -2.8528660552855437e-05, -8.8400221811617943e-06, +1.8264272667292435e-06
13-DEC-2028 05:50:00.0000 ET, -5.2827179630242760e-01, +9.9801798247414286e-01, -3.1269618561360453e+00, -2.8501863676076045e-05, -8.8940603090706646e-06, +1.9764547445111706e-06
13-DEC-2028 06:00:00.0000 ET, -5.4536466788459559e-01, +9.9266540123764702e-01, -3.1257309887527041e+00, -2.8474236814867784e-05, -8.9478327677810229e-06, +2.1264269775894096e-06
13-DEC-2028 06:10:00.0000 ET, -5.6244071425031039e-01, +9.8728063675879718e-01, -3.1244101557053736e+00, -2.8445779952724567e-05, -9.0013375533818499e-06, +2.2763395867365548e-06
13-DEC-2028 06:20:00.0000 ET, -5.7949943806925064e-01, +9.8186385003292342e-01, -3.1229993940306939e+00, -2.8416494758947665e-05, -9.0545731856605596e-06, +2.4261883209817749e-06
13-DEC-2028 06:30:00.0000 ET, -5.9654034243911069e-01, +9.7641520312136110e-01, -3.1214987433597075e+00, -2.8386381943303328e-05, -9.1075378873470433e-06, +2.5759688566145632e-06
13-DEC-2028 06:40:00.0000 ET, -6.1356293105158077e-01, +9.7093485909943777e-01, -3.1199082459048499e+00, -2.8355442385096856e-05, -9.1602299341591189e-06, +2.7256768822560972e-06
13-DEC-2028 06:50:00.0000 ET, -6.3056670814449434e-01, +9.6542298207110344e-01, -3.1182279464639664e+00, -2.8323677042912117e-05, -9.2126476272305410e-06, +2.8753080930510149e-06
13-DEC-2028 07:00:00.0000 ET, -6.4755117854120536e-01, +9.5987973715614017e-01, -3.1164578924168200e+00, -2.8291086891094428e-05, -9.2647892733286633e-06, +3.0248581856305994e-06
13-DEC-2028 07:10:00.0000 ET, -6.6451584764915439e-01, +9.5430529049028545e-01, -3.1145981337253623e+00, -2.8257672921764329e-05, -9.3166531854343111e-06, +3.1743228580985937e-06
13-DEC-2028 07:20:00.0000 ET, -6.8146022150007168e-01, +9.4869980921190267e-01, -3.1126487229294768e+00, -2.8223436202708781e-05, -9.3682377017561724e-06, +3.3236978171268034e-06
13-DEC-2028 07:30:00.0000 ET, -6.9838380672745914e-01, +9.4306346146892317e-01, -3.1106097151496281e+00, -2.8188377786474879e-05, -9.4195411562967512e-06, +3.4729787678182607e-06
13-DEC-2028 07:40:00.0000 ET, -7.1528611060541858e-01, +9.3739641640590510e-01, -3.1084811680826494e+00, -2.8152498542437890e-05, -9.4705618229543980e-06, +3.6221613911214519e-06
13-DEC-2028 07:50:00.0000 ET, -7.3216664106689322e-01, +9.3169884415760074e-01, -3.1062631419994582e+00, -2.8115799830423024e-05, -9.5212981379779632e-06, +3.7712414297185150e-06
13-DEC-2028 08:00:00.0000 ET, -7.4902490670318034e-01, +9.2597091584872349e-01, -3.1039556997451978e+00, -2.8078282637099771e-05, -9.5717484151828263e-06, +3.9202145788864389e-06
13-DEC-2028 08:10:00.0000 ET, -7.6586041677483685e-01, +9.2021280359001612e-01, -3.1015589067381271e+00, -2.8039948154235162e-05, -9.6219110370289586e-06, +4.0690765605164777e-06
13-DEC-2028 08:20:00.0000 ET, -7.8267268125750589e-01, +9.1442468046246028e-01, -3.0990728309632298e+00, -2.8000797520152291e-05, -9.6717843688723477e-06, +4.2178230891642116e-06
13-DEC-2028 08:30:00.0000 ET, -7.9946121080481791e-01, +9.0860672052939662e-01, -3.0964975429777821e+00, -2.7960831920895667e-05, -9.7213667926214431e-06, +4.3664498855309192e-06
13-DEC-2028 08:40:00.0000 ET, -8.1622551682399769e-01, +9.0275909881049010e-01, -3.0938331159001451e+00, -2.7920052616222228e-05, -9.7706567162091718e-06, +4.5149526820723291e-06
13-DEC-2028 08:50:00.0000 ET, -8.3296511142626772e-01, +8.9688199129821233e-01, -3.0910796254175841e+00, -2.7878460747855748e-05, -9.8196525075874927e-06, +4.6633271915218349e-06
13-DEC-2028 09:00:00.0000 ET, -8.4967950749388221e-01, +8.9097557493447554e-01, -3.0882371497757855e+00, -2.7836057635305131e-05, -9.8683525965063434e-06, +4.8115691552016462e-06
13-DEC-2028 09:10:00.0000 ET, -8.6636821867428881e-01, +8.8504002761209832e-01, -3.0853057697796582e+00, -2.7792844661215155e-05, -9.9167554359834348e-06, +4.9596743266181379e-06
13-DEC-2028 09:20:00.0000 ET, -8.8303075937538367e-01, +8.7907552817609513e-01, -3.0822855687945241e+00, -2.7748822998470950e-05, -9.9648594064704197e-06, +5.1076384218112978e-06
13-DEC-2028 09:30:00.0000 ET, -8.9966664480881053e-01, +8.7308225640813131e-01, -3.0791766327386734e+00, -2.7703994012937450e-05, -1.0012662956425746e-05, +5.2554571903137417e-06
13-DEC-2028 09:40:00.0000 ET, -9.1627539099727517e-01, +8.6706039302340476e-01, -3.0759790500819442e+00, -2.7658359063189946e-05, -1.0060164532679246e-05, +5.4031263805062864e-06
