# Sun->Jupiter Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 05:10:00.0000 ET, -7.9456662574481809e+08, -1.7649452605813640e+08, -5.6308072555871710e+07, +2.8009098711388360e+00, -1.1123861182214036e+01, -4.8361539895142514e+00
13-DEC-2028 05:20:00.0000 ET, -7.9456494516391051e+08, -1.7650120036707699e+08, -5.6310974245787166e+07, +2.8010264878682167e+00, -1.1123835286246669e+01, -4.8361457285930483e+00
13-DEC-2028 05:30:00.0000 ET, -7.9456326451303279e+08, -1.7650787466047972e+08, -5.6313875930745944e+07, +2.8011431043465698e+00, -1.1123809389298373e+01, -4.8361374672450772e+00
13-DEC-2028 05:40:00.0000 ET, -7.9456158379218519e+08, -1.7651454893834397e+08, -5.6316777610747769e+07, +2.8012597205738867e+00, -1.1123783491369149e+01, -4.8361292054703409e+00
13-DEC-2028 05:50:00.0000 ET, -7.9455990300136805e+08, -1.7652122320066914e+08, -5.6319679285792418e+07, +2.8013763365501569e+00, -1.1123757592459002e+01, -4.8361209432688401e+00
13-DEC-2028 06:00:00.0000 ET, -7.9455822214058149e+08, -1.7652789744745472e+08, -5.6322580955879614e+07, +2.8014929522753711e+00, -1.1123731692567929e+01, -4.8361126806405750e+00
13-DEC-2028 06:10:00.0000 ET, -7.9455654120982540e+08, -1.7653457167870003e+08, -5.6325482621009097e+07, +2.8016095677495207e+00, -1.1123705791695942e+01, -4.8361044175855481e+00
13-DEC-2028 06:20:00.0000 ET, -7.9455486020910025e+08, -1.7654124589440453e+08, -5.6328384281180628e+07, +2.8017261829725952e+00, -1.1123679889843034e+01, -4.8360961541037595e+00
13-DEC-2028 06:30:00.0000 ET, -7.9455317913840592e+08, -1.7654792009456766e+08, -5.6331285936393939e+07, +2.8018427979445844e+00, -1.1123653987009211e+01, -4.8360878901952100e+00
13-DEC-2028 06:40:00.0000 ET, -7.9455149799774277e+08, -1.7655459427918875e+08, -5.6334187586648777e+07, +2.8019594126654801e+00, -1.1123628083194479e+01, -4.8360796258598988e+00
13-DEC-2028 06:50:00.0000 ET, -7.9454981678711069e+08, -1.7656126844826728e+08, -5.6337089231944889e+07, +2.8020760271352718e+00, -1.1123602178398835e+01, -4.8360713610978303e+00
13-DEC-2028 07:00:00.0000 ET, -7.9454813550651026e+08, -1.7656794260180262e+08, -5.6339990872282013e+07, +2.8021926413539493e+00, -1.1123576272622287e+01, -4.8360630959090010e+00
13-DEC-2028 07:10:00.0000 ET, -7.9454645415594113e+08, -1.7657461673979422e+08, -5.6342892507659890e+07, +2.8023092553215050e+00, -1.1123550365864833e+01, -4.8360548302934143e+00
13-DEC-2028 07:20:00.0000 ET, -7.9454477273540390e+08, -1.7658129086224148e+08, -5.6345794138078272e+07, +2.8024258690379269e+00, -1.1123524458126479e+01, -4.8360465642510713e+00
13-DEC-2028 07:30:00.0000 ET, -7.9454309124489844e+08, -1.7658796496914375e+08, -5.6348695763536908e+07, +2.8025424825032079e+00, -1.1123498549407223e+01, -4.8360382977819727e+00
13-DEC-2028 07:40:00.0000 ET, -7.9454140968442488e+08, -1.7659463906050059e+08, -5.6351597384035520e+07, +2.8026590957173365e+00, -1.1123472639707071e+01, -4.8360300308861204e+00
13-DEC-2028 07:50:00.0000 ET, -7.9453972805398357e+08, -1.7660131313631126e+08, -5.6354498999573879e+07, +2.8027757086803029e+00, -1.1123446729026027e+01, -4.8360217635635125e+00
