v   6.636000e-03  -1.313000e-03   2.447146e+00
v   1.163025e+00  -1.325000e-03  -1.024300e-02
v   6.811000e-03   8.787900e-01  -1.028800e-02
v  -1.070273e+00  -1.322000e-03  -1.024200e-02
v   6.720000e-03  -8.511360e-01  -1.025800e-02
v   6.245000e-03  -1.167000e-03  -1.980204e+00
v   5.917280e-01  -1.348000e-03   1.380722e+00
v   6.667000e-03   5.982550e-01   1.388397e+00
v  -7.583180e-01  -1.352000e-03   1.461688e+00
v   6.865000e-03  -5.116850e-01   1.345770e+00
v   6.666000e-03   6.195040e-01  -1.418446e+00
v   6.380510e-01  -1.363000e-03  -1.422092e+00
v  -6.803850e-01  -1.321000e-03  -1.447391e+00
v   6.816000e-03  -7.097670e-01  -1.455898e+00
v   3.808160e-01   5.247790e-01   9.553880e-01
v  -4.574180e-01   3.278840e-01   9.349810e-01
v  -3.414330e-01  -4.911070e-01   9.436750e-01
v   4.026140e-01  -5.552970e-01   9.650430e-01
v   7.274180e-01   5.082240e-01  -1.037083e+00
v   4.940260e-01  -6.911790e-01  -1.027094e+00
v  -6.865260e-01   4.883150e-01  -1.028342e+00
v  -5.324080e-01  -7.616690e-01  -1.050244e+00
v   6.660000e-03  -6.175730e-01   7.154140e-01
v   9.904370e-01  -1.404000e-03   7.833020e-01
v  -7.534720e-01  -1.269000e-03   7.419100e-01
v   6.734000e-03   9.044610e-01  -7.895420e-01
v  -1.025303e+00  -1.331000e-03  -8.130020e-01
v   6.744000e-03  -9.243060e-01  -7.926330e-01
v   6.809000e-03   6.094050e-01   7.135840e-01
v   8.985590e-01  -1.394000e-03  -7.868890e-01
v  -7.198080e-01   7.301990e-01  -1.031000e-02
v   7.553260e-01  -7.434400e-01  -1.019800e-02
v   7.046970e-01   6.980530e-01  -1.027900e-02
v  -6.148920e-01  -6.263860e-01  -1.029300e-02
v  -2.566860e-01   5.591440e-01   5.340900e-01
v   8.117960e-01  -3.823380e-01  -5.915060e-01
v   8.181150e-01  -3.886520e-01   5.719220e-01
v  -8.937760e-01  -4.249530e-01  -6.057530e-01
v   7.884440e-01   3.700300e-01   5.674350e-01
v  -7.520370e-01  -3.593610e-01   5.639940e-01
v  -4.143690e-01   8.915710e-01  -6.046730e-01
v   4.516040e-01   9.355500e-01  -6.120100e-01
v   2.817450e-01  -9.381180e-01  -5.655400e-01
v   1.917350e-01   6.254830e-01   5.043910e-01
v   9.828290e-01   2.847980e-01  -5.705250e-01
v  -1.081205e+00   3.170090e-01  -5.852440e-01
v  -2.349000e-01  -8.260530e-01  -5.506020e-01
v   2.037110e-01  -6.713000e-01   5.098780e-01
v  -1.879850e-01  -6.612620e-01   5.087120e-01
v  -8.189610e-01   2.402790e-01   5.301620e-01
v  -5.329240e-01   4.459870e-01   4.894210e-01
